species,class,longevity,mass,volant
Dolichotis_patagonum,Mammalia,-0.149004113,1.087544642,nonvolant
Eidolon_helvum,Mammalia,0.468611104,-0.274833698,volant
Elephas_maximus,Mammalia,2.107128571,3.122033965,nonvolant
Equus_asinus,Mammalia,1.612802371,2.035276413,nonvolant
Equus_burchellii,Mammalia,1.296219408,2.229529943,nonvolant
Equus_caballus,Mammalia,1.900107602,2.254871628,nonvolant
Equus_grevyi,Mammalia,0.992984918,2.345545495,nonvolant
Gazella_dorcas,Mammalia,0.593070554,1.142060609,nonvolant
Gazella_gazella,Mammalia,0.207957814,1.315487817,nonvolant
Gazella_subgutturosa,Mammalia,0.03558398,1.58555476,nonvolant
Giraffa_camelopardalis,Mammalia,1.353879701,2.615138797,nonvolant
Glossophaga_soricina,Mammalia,-0.550140921,-1.531696908,volant
Gorilla_gorilla,Mammalia,1.857702701,1.974516149,nonvolant
Acinonyx_jubatus,Mammalia,0.37703697,1.621594307,nonvolant
Acomys_cahirinus,Mammalia,-1.477934381,-0.97760725,nonvolant
Addax_nasomaculatus,Mammalia,0.84139267,1.822705763,nonvolant
Aepyceros_melampus,Mammalia,0.707926871,1.614663748,nonvolant
Ailurus_fulgens,Mammalia,0.263865723,0.697713801,nonvolant
Ammotragus_lervia,Mammalia,0.461763407,1.822705763,nonvolant
Antidorcas_marsupialis,Mammalia,0.325291811,1.505480662,nonvolant
Antilope_cervicapra,Mammalia,0.605586355,1.491074551,nonvolant
Aonyx_cinerea,Mammalia,0.548417955,0.563352314,nonvolant
Artibeus_jamaicensis,Mammalia,0.279461379,-1.002832864,volant
Atelerix_albiventris,Mammalia,-0.496943425,-0.09477662,nonvolant
Ateles_fusciceps,Mammalia,1.580771641,0.874572234,nonvolant
Ateles_geoffroyi,Mammalia,1.61596788,0.888347122,nonvolant
Axis_axis,Mammalia,0.39867471,1.476080275,nonvolant
Bison_bison,Mammalia,1.108497945,2.527391708,nonvolant
Bos_grunniens,Mammalia,0.748105033,2.548354102,nonvolant
Boselaphus_tragocamelus,Mammalia,0.461763407,2.067240906,nonvolant
Callimico_goeldii,Mammalia,0.495691333,-0.056444273,nonvolant
Callithrix_geoffroyi,Mammalia,0.14986911,-0.234279515,nonvolant
Callithrix_jacchus,Mammalia,0.535410261,-0.341813995,nonvolant
Callithrix_pygmaea,Mammalia,0.232175771,-0.606924959,nonvolant
Camelus_bactrianus,Mammalia,1.190661184,2.423661875,nonvolant
Canis_lupus,Mammalia,0.384284534,1.365274863,nonvolant
Capra_falconeri,Mammalia,0.271683964,1.523849927,nonvolant
Capra_hircus,Mammalia,0.39867471,1.669782354,nonvolant
Capra_ibex,Mammalia,0.405817992,1.78068184,nonvolant
Capra_nubiana,Mammalia,0.509049014,1.568106737,nonvolant
